CharacterId	Feature[1]	Name[1]	Icon[1]	Description[1]	Feature[2]	Name[2]	Icon[2]	Description[2]	Feature[3]	Name[3]	Icon[3]	Description[3]
1011003	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Entropy can deal damage efficiently.\n1. Ping Blue Orbs to pull enemies.\n2. Cast Red Orb(s) after any 3-Ping to deal additional Physical DMG.	2	High Frequency Attack	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	Entropy can deal high frequency attacks.\n1. Ping Blue Orbs to pull enemies.\n2. Cast Red Orb(s) after any 3-Ping to deal additional Physical DMG.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Entropy can pull enemies.\n1. Ping Blue Orbs to pull enemies.\n2. Cast Red Orb(s) after any 3-Ping to deal additional Physical DMG.
1031003	16	Support	Assets/Product/Texture/Image/IconType/IconCharacter2.png	Luminance can restore teammates' HP and boost the recovery speed of Reinforcement Energy.\n1. Ping Blue Orbs to pull and mark enemies within range.\n2. Attacks against marked enemies have a chance to deal additional Physical DMG.\n3. Perform a 3-Ping or trigger the marks 5 times to restore team members' HP.\n4. Luminance's Signature Moves can boost other team members' DMG Reduction.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Luminance can pull enemies.\n1. Ping Blue Orbs to pull and mark enemies within range.\n2. Attacks against marked enemies have a chance to deal additional Physical DMG.\n3. Perform a 3-Ping or trigger the marks 5 times to restore team members' HP.\n4. Luminance's Signature Moves can boost other team members' DMG Reduction.	8	Damage Reduction	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Luminance can reduce the damage taken by team members.\n1. Ping Blue Orbs to pull and mark enemies within range.\n2. Attacks against marked enemies have a chance to deal additional Physical DMG.\n3. Perform a 3-Ping or trigger the marks 5 times to restore team members' HP.\n4. Luminance's Signature Moves can boost other team members' DMG Reduction.
1061003	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Tenebrion can draw aggression, gain Super Armor, and have 30% DMG Reduction.\n1. Ping Blue Orb(s) to pull monsters.\n2. Each 3-Ping grants 10 more Energy. When Energy is above 60, activate a Signature Move to enter Dark form.\n3. When in Dark form, Tenebrion gains 30% Physical Resistance and Dark Resistance.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Eclipse can pull enemies.\n1. Ping Blue Orb(s) to pull monsters.\n2. Each 3-Ping grants 10 more Energy. When Energy is above 60, activate a Signature Move to enter Dark form.\n3. When in Dark form, Tenebrion gains 30% Physical Resistance and Dark Resistance.				
1071003	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	"Ember can deal damage efficiently.\n1. Any 3-Ping and Signature Move will grant Heat.\n2. Ember will deal more damage upon 50% Heat."								
1051003	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Pulse can draw aggression, gain Super Armor, and have 30% DMG Reduction.\n1. Ping any Orb to perform a multiple-hit attack.\n2. Pulse can cast a Signature Move to gain temporary enhancement, dealing more damage and reducing the enemy's Fire Resistance by 15%.	2	High Frequency Attack	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	Pulse can deal high frequency attacks.\n1. Ping any Orb to perform a multiple-hit attack.\n2. Pulse can cast a Signature Move to gain temporary enhancement, dealing more damage and reducing the enemy's Fire Resistance by 15%.				
1021003	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Crimson Abyss can deal damage efficiently.\n1. Perform any 3-Ping after a Blue Orb 3-Ping to enter Blade Will form.\n2. Upon entering Blade Will form, Crimson Abyss will gain multiple Sword Orbs. Ping these orbs to deal Physical DMG.	3	Burst	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png	Crimson Abyss can deal massive damage in short-time.\n1. Perform any 3-Ping after a Blue Orb 3-Ping to enter Blade Will form.\n2. Upon entering Blade Will form, Crimson Abyss will gain multiple Sword Orbs. Ping these orbs to deal Physical DMG.				
1081003	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Astral can deal damage efficiently.\n1. Ping Yellow Orbs to pull enemies.\n2. Ping Red Orb(s) after any 3-Ping to deal damage once and temporarily make Astral deal more damage.								
1091002	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Brilliance can draw aggression, gain Super Armor, and have 30% DMG Reduction.\n1. Ping Blue Orb(s) after any 3-Ping to charge and pull enemies right on the spot and gain a shield.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Brilliance can pull enemies.\n1. Ping Blue Orb(s) after any 3-Ping to charge and pull enemies right on the spot and gain a shield.				
1041003	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Veritas can deal damage efficiently.\n1. Ping Blue Orb(s) after a Red Orb 3-Ping to enter Sniper form.\n2. When in Sniper form, Veritas deals more basic attack damage and deals damage at a significantly longer range.	17	Ranged Damage	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12251.png	Veritas can deal ranged attacks against enemies.\n1. Ping Blue Orb(s) after a Red Orb 3-Ping to enter Sniper form.\n2. When in Sniper form, Veritas deals more basic attack damage and deals damage at a significantly longer range.				
1111002	16	Support	Assets/Product/Texture/Image/IconType/IconCharacter2.png	Silverfang can restore teammates' HP and boost the recovery speed of Reinforcement Energy.\n1. Silverfang will drop Energy Balls when attacking. Pick up the Energy Balls to restore HP and deal more Fire DMG.\n2. Silverfang will gain Energy and Heat by picking up Energy Balls.\n3. Silverfang's Signature Moves will deal Fire DMG and continuously pull enemies.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Silverfang can pull enemies.\n1. Silverfang's Signature Moves will deal Fire DMG and continuously pull enemies.				
1121002	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Arclight can draw aggression, gain Super Armor, and have 30% DMG Reduction.\n1. Arclight can attract nearby targets after casting a Signature Move.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Arclight can pull enemies.\n1. Arclight can attract nearby targets after casting a Signature Move.				
1021004	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Plume can deal damage efficiently.\n1. When in Arctic form and there is Energy remaining, Plume can deal 50% more Ice DMG. Plume's Signature Moves and 3-Pings also have this bonus effect.	3	Burst	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png	Plume can deal massive damage in short-time.\n1. When in Arctic Form and there is Energy remaining, Plume can deal 50% more Ice DMG. Plume's Signature Moves and 3-Pings also have this bonus effect.				
1131002	16	Support	Assets/Product/Texture/Image/IconType/IconCharacter2.png	Rozen can restore teammates' HP and boost the recovery speed of Reinforcement Energy.\n1. Press and hold the Basic Attack button to deal damage and restore Rozen's Signature Energy at the cost of the Passive Value.								
1511003	18	Vanguard	Assets/Product/Texture/Image/IconType/IconCharacter4.png	Crocotta can deal damage efficiently.\n1. With a powerful shield and efficient damage-dealing capability, Crocotta will gain Super Armor during a Signature Move and deal damage at ease.	10	Shield	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	Crocotta can gain a shield.\n1. Ping Blue Orbs to gain a shield.				
1141003	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Rigor can draw aggression, gain Super Armor, and have 30% DMG Reduction.\n1. Rigor can use Passive Energy to deal more 3-Ping and Signature Move damage.\n2. When Energy is used up, Rigor will enter Full Burst form. Press and hold the Basic Attack button to fire the Wide-area electromagnetic Cannon.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Rigor can pull enemies.\n1. Rigor's Signature Moves can pull nearby enemies and deal Physical DMG.\n2. Ping Blue Orbs to pull enemies.				
1521003	18	Vanguard	Assets/Product/Texture/Image/IconType/IconCharacter4.png	Pavo can deal damage efficiently.\n1. Ping Signal Orbs to gain Sync Rate.\n2. Pavo will enter Concentrated Will form upon full Sync Rate.\n3. When in Concentrated Will form, Pavo can only perform 1-Pings, which will grant enhancement effect(s).								
1161002	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Qilin can draw aggression, gain Super Armor, and have 30% DMG Reduction.\n1. Upon a 3-Ping, the Follow-Up Orb will light up for you to perform different Follow-Up effects.\n2. Upon use of a Signature Move, use the Follow-Up Orb to perform a combo.								
1171003	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Laurel can deal damage efficiently.\n1. After gaining Annihilation Points via a 3-Ping, press and hold the Basic Attack button to enter Annihilation form, and then ping Annihilation Orb(s) to deal Dark DMG and gain Energy.	2	High Frequency Attack	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	Laurel can deal high frequency attacks.\n1. Signal Orbs and basic attacks can all deal multiple-hit attacks.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Laurel can pull enemies.\n1. Laurel can attract nearby targets after casting a Signature Move.
1181003	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	2B can deal damage efficiently.\n1. 2B should deal damage when in Battle form.								
1191003	16	Support	Assets/Product/Texture/Image/IconType/IconCharacter2.png	9S can restore teammates' HP and boost the recovery speed of Reinforcement Energy.\n1. Upon a 3-Ping, if the Overclock Energy is above 50, gain the Overclock Indicator of the corresponding color at the cost of Overclock Energy.\n2. Tap the Overclock Indicator to clear the Signal Orbs of the same color.	9	Control	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon018.png	9S can control enemies.\n1. Ping Yellow Orb(s) to create a slow area in front and immobilize the enemies in the area.				
1201003	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	A2 can draw aggression, gain Super Armor, and have 30% DMG Reduction.\n1. Upon a Signature Move, A2 enters Berserker, during which time A2 has Super Armor and gains Extra DMG Reduction and Extra DMG Bonus.\n2. POD: shield will be consumed during the Signature Move. Replenish it via 3-Pings and basic attacks.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	A2 can pull enemies.\n1. Ping Blue Orb(s) to create a gravity area in front and keep pulling enemies in the area.				
1211002	16	Support	Assets/Product/Texture/Image/IconType/IconCharacter2.png	Hypnos can restore teammates' HP and boost the recovery speed of Reinforcement Energy.\n1. Press the Basic Attack button within 1s after any 3-Ping to enter Tactical Firing posture. Hold the Basic Attack button to keep the posture.\n2. When in the Tactical Firing posture, release the Basic Attack button and successfully dodge attacks to deal more damage.								
1531003	18	Vanguard	Assets/Product/Texture/Image/IconType/IconCharacter4.png	Tempest can deal damage efficiently.\n1. Upon a 3-Ping, Tempest gains a Triad of the same color. And the next ping will trigger a Chord and cause different damage effects depending on the Chord color.\n2. Tempest gains 50% DMG Reduction during Signature and deal damage via basic attacks and pings.								
1121003	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Glory can draw aggression, gain Super Armor, and have 30% DMG Reduction.\n1. Press and hold the Basic Attack button to clear Glorious Shield and enter Frost Spirit form.\n2. When performing a 3-Ping and attacked in Frost Spirit form, become immune to the attack and slow down the enemy.	9	Control	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon018.png	Glory can control enemies.\n1. Press and hold the Basic Attack button to clear Glorious Shield and enter Frost Spirit form.\n2. When performing a 3-Ping and attacked in Frost Spirit form, become immune to the attack and slow down the enemy.	10	Shield	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	Glory can gain a shield.\n1. Upon deployment, Glory converts 60% HP to a shield.
1221002	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	XXI can draw aggression, gain Super Armor, and have 30% DMG Reduction.\n1. Dodge to get up from the ground or remove other statuses and gain a shield.\n2. XXI mainly deals damage via the explosion of Twilight Matrix.	10	Shield	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	XXI can gain a shield.\n1.When attacked, fallen to the ground, or in other abnormal statuses, tap the Dodge button to perform an instant dodge, which will cast a Twilight Matrix at the target and grant Super Armor and a shield equal to 15% Max HP.				
1131003	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Garnet can draw aggression, gain Super Armor, and have 30% DMG Reduction.\n1. Upon a 3-Ping, use a basic attack or Signature Move to gain Electric Charge.\n2. Press and hold the Basic Attack button to cast Lightning Fall at the cost of Electric Charge.\n3. The more stacks of Electric Charge consumed, the more damage the Lightning Fall will deal.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Garnet can pull enemies.\n1. Clear Yellow Orbs to pull nearby enemies.				
1541003	18	Vanguard	Assets/Product/Texture/Image/IconType/IconCharacter4.png	Flambeau can deal damage efficiently.\n1. Ping White Signal Orb(s) right after a basic attack to gain Deception Pts.\n2. Use Deception Pts. to cast the Signal Orb's Phase 1 and Phase 2 skills.\n3. Signature grants Trickery Pts. and Incinerating Orb(s). Basic attacks and pings consume Trickery Pts.								
1031004	19	Amplifier	Assets/Product/Texture/Image/IconType/IconCharacter5.png	Empyrea is a character that can pull enemies, inflict control effects, and deal damage.\n1. Upon full Passive Value, double tap the Dodge button to enter Prayer and enter Signal Orb(s) twice.\n2. Cause different damage effects based on the Signal Orb(s) entered.\n3. During a Signature Move, double tap the Dodge button to enter Prayer and enter Signal Orb(s) three times to deal massive damage.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Empyrea can pull enemies.\n1. Upon full Passive Value, double tap the Dodge button to enter Prayer, enter two groups of Signal Orbs of different colors, and cast Chaos Oath to pull enemies within a big range.	17	Ranged Damage	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12251.png	All Empyrea's damage is ranged damage.
1531004	19	Amplifier	Assets/Product/Texture/Image/IconType/IconCharacter5.png	Selena: Capriccio is an attacker and a healer.\n1. After Selena casts a 3-Ping or Shooting Stars, move the joystick to summon a phantom to cast the original skill and for Selena to cast Ensemble: Echo.\n2. After explosion, the Signature Move field will leave a phantom to restore HP to allies in it.								
1551003	18	Vanguard	Assets/Product/Texture/Image/IconType/IconCharacter4.png	Dragontoll can deal damage efficiently.\n1. Spend 20 Energy to cast Spirit Blade: Dragon Throw, throwing a Dragon Axe.\n2. When Dragontoll's Red/Yellow/Blue Pings collides with the Dragon Axe, she will cast Dragon Force Combo at the cost of Dragon Force.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Dragontoll can pull the enemy.\n1. When Dragontoll's Yellow Pings collides with the Dragon Axe, she will cast Dragon Force Combo and pull nearby enemies at the cost of Dragon Force.				
1051004	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Starfarer can attract firepower, gain Super Armor, and become immune to 30% incoming damage.\n1. Starfarer casts the Signature Move and then actives the "Thunderer" Mode. Tap Basic Attack to cast Ironsoul Slice.\n2. When the Ironsoul Slice hits the enemy, press and hold Basic Attack to active the "Bzzz" Mode and trigger Oops! Missed It! or "Perfect!" by releasing at different time points.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Starfarer can pull the enemy.\n1. Ironsoul Slice I can pull the enemy.				
1561003	18	Vanguard	Assets/Product/Texture/Image/IconType/IconCharacter4.png	Starveil can deal damage efficiently.\n1. Press and hold Dodge to start charging. Release to cast Frost Moon.								
